Points_0,Points_1,Points_2,Temperature
0.0108368,0.0374698,0.0072309,33.951
0.0107102,0.0124601,0.00743141,34.1008
0.0191388,0.0234465,0.00719461,33.9668
0.0109058,0.0328279,0.00712984,34.0971
0.0109246,0.0249961,0.00710325,34.2424
0.0164684,0.0110379,0.00522048,33.3071
0.0178858,0.0113372,0.00591688,33.4734
0.019141,0.0327364,0.0071979,33.8137
0.0191818,0.0342389,0.00725911,33.7797
0.0191009,0.0281035,0.0071395,33.9092
0.0191063,0.0312073,0.00714718,33.8398
0.0190919,0.0171737,0.00712661,33.9153
0.0134226,0.0110372,0.00525534,33.3882
0.0109154,0.0153921,0.00711624,34.1015
0.0120919,0.0392917,0.00593271,33.4866
0.0109818,0.0111518,0.00702443,33.9359
0.0177835,0.0390058,0.00584646,33.3055
