Block Name,Point ID,FamilyIdNode,Points_0,Points_1,Points_2,Points_Magnitude,Temperature
dataset_1,348,0,0.0005,0.0177476,0.025,0.0306631,53.3533
dataset_1,349,0,0.0005,0.0179446,0.025,0.0307776,53.4676
dataset_1,350,0,0.0005,0.0181416,0.025,0.0308928,53.5831
dataset_1,351,0,0.0005,0.0183385,0.025,0.0310089,53.697
dataset_1,352,0,0.0005,0.0185355,0.025,0.0311258,53.8015
dataset_1,353,0,0.0005,0.0187325,0.025,0.0312435,53.9147
dataset_1,354,0,0.0005,0.0189294,0.025,0.031362,54.0185
dataset_1,355,0,0.0005,0.0191264,0.025,0.0314813,54.1221
dataset_1,356,0,0.0005,0.0193234,0.025,0.0316013,54.2319
dataset_1,357,0,0.0005,0.0195204,0.025,0.0317221,54.3212
dataset_1,358,0,0.0005,0.0197173,0.025,0.0318437,54.4138
dataset_1,359,0,0.0005,0.0199143,0.025,0.0319661,54.5174
dataset_1,360,0,0.0005,0.0201113,0.025,0.0320892,54.6051
dataset_1,361,0,0.0005,0.0203083,0.025,0.032213,54.6957
dataset_1,362,0,0.0005,0.0205052,0.025,0.0323375,54.7778
dataset_1,363,0,0.0005,0.0207022,0.025,0.0324628,54.857
dataset_1,364,0,0.0005,0.0208992,0.025,0.0325887,54.9408
dataset_1,365,0,0.0005,0.0210962,0.025,0.0327154,55.0173
dataset_1,366,0,0.0005,0.0212931,0.025,0.0328428,55.0871
dataset_1,367,0,0.0005,0.0214901,0.025,0.0329708,55.16
dataset_1,368,0,0.0005,0.0216871,0.025,0.0330995,55.2344
dataset_1,369,0,0.0005,0.021884,0.025,0.0332289,55.2994
dataset_1,370,0,0.0005,0.022081,0.025,0.033359,55.3608
dataset_1,371,0,0.0005,0.022278,0.025,0.0334897,55.4145
dataset_1,372,0,0.0005,0.022475,0.025,0.033621,55.4702
dataset_1,373,0,0.0005,0.0226719,0.025,0.033753,55.5243
dataset_1,374,0,0.0005,0.0228689,0.025,0.0338857,55.5723
dataset_1,375,0,0.0005,0.0230659,0.025,0.0340189,55.6135
dataset_1,376,0,0.0005,0.0232629,0.025,0.0341528,55.6516
dataset_1,377,0,0.0005,0.0234598,0.025,0.0342872,55.6904
dataset_1,378,0,0.0005,0.0236568,0.025,0.0344223,55.7156
dataset_1,379,0,0.0005,0.0238538,0.025,0.034558,55.7498
dataset_1,380,0,0.0005,0.0240508,0.025,0.0346942,55.7749
dataset_1,381,0,0.0005,0.0242477,0.025,0.0348311,55.7925
dataset_1,382,0,0.0005,0.0244447,0.025,0.0349685,55.8224
dataset_1,383,0,0.0005,0.0246417,0.025,0.0351064,55.8243
dataset_1,384,0,0.0005,0.0248387,0.025,0.035245,55.8433
dataset_1,385,0,0.0005,0.0250356,0.025,0.0353841,55.846
dataset_1,386,0,0.0005,0.0252326,0.025,0.0355237,55.8483
dataset_1,387,0,0.0005,0.0254296,0.025,0.0356639,55.8475
dataset_1,388,0,0.0005,0.0256265,0.025,0.0358046,55.8395
dataset_1,389,0,0.0005,0.0258235,0.025,0.0359459,55.8305
dataset_1,390,0,0.0005,0.0260205,0.025,0.0360876,55.8237
dataset_1,391,0,0.0005,0.0262175,0.025,0.0362299,55.7888
dataset_1,392,0,0.0005,0.0264144,0.025,0.0363727,55.7733
dataset_1,393,0,0.0005,0.0266114,0.025,0.036516,55.753
dataset_1,394,0,0.0005,0.0268084,0.025,0.0366598,55.7186
dataset_1,395,0,0.0005,0.0270054,0.025,0.0368041,55.6866
dataset_1,396,0,0.0005,0.0272023,0.025,0.0369488,55.6507
dataset_1,397,0,0.0005,0.0273993,0.025,0.0370941,55.6058
dataset_1,398,0,0.0005,0.0275963,0.025,0.0372398,55.5623
dataset_1,399,0,0.0005,0.0277933,0.025,0.037386,55.5188
dataset_1,400,0,0.0005,0.0279902,0.025,0.0375327,55.4568
dataset_1,401,0,0.0005,0.0281872,0.025,0.0376798,55.3985
dataset_1,402,0,0.0005,0.0283842,0.025,0.0378274,55.3413
